elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,country,run_level,variant,identifier,time_left,time_right
0,0,-16.999290002410042,2.480942203882676,4.526507307273517,0.7729113382156999,33.998580004820084,4.961884407765352,ZMB,1,offset,cases,all,all
-2.987579720181386,1.5408394526838356,-19.986869722591425,3.354733599784131,7.9873370668963055,1.6290780850233642,39.97373944518285,6.709467199568262,ZMB,1,base,cases,all,all
-3.2889161197832975,1.5617856123581186,-20.288206122193344,3.368315137855195,7.847787835954712,1.6001398889228802,40.57641224438669,6.73663027571039,ZMB,1,null,cases,all,all
-3.4637699917031854,1.6871372257348338,-20.463059994113223,3.4708514671509807,8.492291556854376,1.7820491480536143,40.926119988226446,6.941702934301961,ZMB,1,mixture,cases,all,all
-35.20153622358281,10.780500577084121,-52.20082622599287,11.889116135919183,39.30402273211189,10.928625537301999,104.40165245198574,23.778232271838366,ZMB,1,mixture_offset,cases,all,all
