elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,country,run_level,variant,identifier,time_left,time_right
0,0,-668.3136805813027,39.545486101908736,97.81851711154522,12.492402827044453,1336.6273611626054,79.09097220381747,SOM,1,mixture_offset,mean_annual_incidence,all,all
-22.46980130878236,9.69058507370051,-690.7834818900851,41.65643586022247,109.05216490628267,13.183443839006157,1381.5669637801702,83.31287172044495,SOM,1,mixture,mean_annual_incidence,all,all
-25.820814335428437,9.518398006527487,-694.1344949167321,41.8073262577889,98.28145070890997,12.951269571783156,1388.2689898334643,83.6146525155778,SOM,1,base,mean_annual_incidence,all,all
-65.8681616486598,13.87271800422795,-734.1818422299618,41.09477136103857,83.94483765845078,11.861312195640314,1468.3636844599237,82.18954272207714,SOM,1,null,mean_annual_incidence,all,all
-137.22051697744644,13.303324973660397,-805.5341975587502,42.98197810868873,207.69641387364254,19.24666168932849,1611.0683951175004,85.96395621737746,SOM,1,offset,mean_annual_incidence,all,all
