country,variable,mean,q2.5,q25,q75,q97.5,gid,month,run_level,variant,identifier,time_left,time_right
SDN,"betas[33,1]",-3.7990317443,-6.86662825,-4.712524999999999,-2.8144825,-1.1039237499999988,SDN.15.4_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[34,1]",-5.10339297775,-9.506864,-6.0895425,-3.8249650000000006,-2.1610282499999998,SDN.15.5_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[35,1]",-4.2421976463,-7.7467875,-5.0509025,-3.2258999999999998,-1.7188759999999992,SDN.16.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[36,1]",-4.527874867875,-8.59812725,-5.4031175000000005,-3.4176525,-1.7240384999999956,SDN.17.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[37,1]",-4.5171895915,-8.44634475,-5.391932499999999,-3.4393875000000005,-1.8430517499999999,SDN.17.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[38,1]",-4.43707164975,-7.4103414999999995,-5.179795,-3.51547,-2.3143355000000003,SDN.17.3_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[39,1]",-4.55816541025,-7.8118289999999995,-5.312075,-3.5778275,-2.40658925,SDN.17.4_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[40,1]",-4.41863659125,-8.077179749999999,-5.2473275,-3.3786300000000002,-1.9191174999999996,SDN.17.5_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[41,1]",-4.77553909,-8.10481225,-5.51926,-3.79577,-2.66518325,SDN.18.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[42,1]",-4.39312002025,-7.57602675,-5.2021125,-3.4477375,-1.968151249999999,SDN.18.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[43,1]",-3.76522656805,-6.673955499999999,-4.6528925,-2.8048425000000003,-1.2754064999999999,SDN.18.3_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[44,1]",-4.259070525,-7.12035625,-4.999734999999999,-3.365005,-2.16369625,SDN.18.4_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[45,1]",-5.2697136145,-9.435284249999999,-6.33125,-3.97646,-2.4536425000000004,SDN.2.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[46,1]",-5.46739940525,-9.77650525,-6.608145,-4.0807275,-2.3224125,SDN.2.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[47,1]",-5.52261115175,-9.8512595,-6.7081225,-4.10054,-2.4013389999999983,SDN.2.3_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[48,1]",-5.41254707075,-9.511209,-6.54143,-4.0257075,-2.3249445,SDN.2.4_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[49,1]",-4.594298429,-7.7916925,-5.3576875,-3.6289900000000004,-2.4508629999999996,SDN.2.5_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[50,1]",-4.37487369275,-7.31849575,-5.0951425,-3.4812600000000002,-2.2457012499999998,SDN.3.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[51,1]",-4.14611568735,-7.66204875,-5.05211,-3.1017625000000004,-1.377529,SDN.3.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[52,1]",-5.280430655,-9.555104,-6.361265,-3.9746149999999996,-2.35257125,SDN.3.3_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[53,1]",-5.20691829125,-9.465741,-6.229025,-3.941615,-2.310731999999999,SDN.3.4_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[54,1]",-4.267412180525,-7.616902500000001,-5.09741,-3.2858775000000002,-1.7141397499999989,SDN.3.5_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[55,1]",-5.34741417225,-9.91722075,-6.3913125,-3.9922,-2.3496235,SDN.4.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[56,1]",-5.567010822,-10.136277499999998,-6.8423549999999995,-4.073215,-2.0531412499999995,SDN.4.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[57,1]",-4.4963896642,-7.95841825,-5.283735,-3.4909425,-1.9772137499999998,SDN.5.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[58,1]",-4.9141055685,-8.784899750000001,-5.785965,-3.8115574999999997,-2.4269454999999995,SDN.5.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[59,1]",-4.93325177825,-8.7799185,-5.8143525,-3.83826,-2.4010865,SDN.6.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[60,1]",-3.8439329146,-6.90973275,-4.7110175,-2.8746075,-1.2434937499999996,SDN.6.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[61,1]",-5.49650367325,-9.80405375,-6.700415,-4.0976875,-2.2056172499999995,SDN.6.3_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[62,1]",-5.1257020075,-8.8169295,-6.0522425,-3.978405,-2.6985194999999993,SDN.6.4_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[63,1]",-5.08361621875,-8.81165275,-6.041265,-3.9309700000000003,-2.523309249999999,SDN.6.5_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[64,1]",-3.86874729315,-6.93156075,-4.7167075,-2.886465,-1.4437442499999988,SDN.7.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[65,1]",-4.255344525,-7.127790500000001,-4.99285,-3.3647175000000002,-2.201564,SDN.7.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[66,1]",-4.081359218,-7.118172,-4.9164225,-3.1240499999999995,-1.6835914999999997,SDN.7.3_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[67,1]",-3.8801219229,-6.937874750000001,-4.73325,-2.9029875,-1.4414577499999994,SDN.7.4_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[68,1]",-4.342519327,-7.22115375,-5.0611075,-3.442835,-2.243478,SDN.7.5_1,1,2,mixture,mean_annual_incidence,all,all
