elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,country,run_level,variant,identifier,time_left,time_right
0,0,-176.20166356557874,18.19821106027616,32.88981618321315,7.502147215065939,352.4033271311575,36.39642212055232,GHA,1,offset,occurrence,all,all
-12.01043972265652,7.179800337917695,-188.21210328823506,21.50951229884351,45.92969483537684,10.902076525788988,376.4242065764701,43.01902459768702,GHA,1,mixture,occurrence,all,all
-12.199234001259402,7.175356978778734,-188.40089756683798,20.912912111232764,37.248044277508626,9.829488652156442,376.80179513367597,41.82582422246553,GHA,1,null,occurrence,all,all
-18.464628097834947,8.014897031223665,-194.6662916634137,22.320098341236424,44.74250043390083,11.044873439320508,389.3325833268274,44.64019668247285,GHA,1,base,occurrence,all,all
-571.2081159688631,131.98418833941176,-747.4097795344416,146.23803970180552,587.3255348714167,139.1977940495079,1494.819559068883,292.47607940361104,GHA,1,mixture_offset,occurrence,all,all
