gid,variant,run_level,peak_month,peak_val,country
COD.26.4_1,mixture,2,1,0.1756885786082474,COD
COD.26.5_1,mixture,2,3,0.24612186070876288,COD
COD.26.6_1,mixture,2,3,0.45493293920103095,COD
COD.26.7_1,mixture,2,1,0.17741254015463917,COD
COD.3.1_1,mixture,2,3,0.819289912371134,COD
COD.3.2_1,mixture,2,3,0.743599043814433,COD
COD.3.3_1,mixture,2,12,0.1969315530927835,COD
COD.3.4_1,mixture,2,3,0.3073078037113402,COD
COD.3.5_1,mixture,2,3,0.7773642041237113,COD
COD.3.6_1,mixture,2,3,0.20969593049484536,COD
COD.3.7_1,mixture,2,3,0.36458525396907215,COD
COD.3.8_1,mixture,2,3,0.35388906358247424,COD
COD.3.9_1,mixture,2,3,0.5491898639175258,COD
COD.4.1_1,mixture,2,1,0.19235327048969073,COD
COD.4.2_1,mixture,2,10,0.5606305556443298,COD
COD.4.3_1,mixture,2,1,0.18944127551546391,COD
COD.4.4_1,mixture,2,1,0.18448061345360825,COD
COD.4.5_1,mixture,2,3,0.7146669966494845,COD
COD.4.6_1,mixture,2,12,0.18827199749226803,COD
COD.5.1_1,mixture,2,3,0.30687202268041236,COD
COD.5.10_1,mixture,2,3,0.8180781211340207,COD
COD.5.11_1,mixture,2,3,0.30373680716494844,COD
COD.5.2_1,mixture,2,3,0.6238571028350516,COD
COD.5.3_1,mixture,2,3,0.23858813492010308,COD
COD.5.4_1,mixture,2,3,0.5729578779381443,COD
COD.5.5_1,mixture,2,3,0.20107746358247422,COD
COD.5.6_1,mixture,2,10,0.284529268556701,COD
COD.5.7_1,mixture,2,10,0.2768277772757732,COD
COD.5.8_1,mixture,2,3,0.2304587324742268,COD
COD.5.9_1,mixture,2,3,0.21745985487113403,COD
COD.6.1_1,mixture,2,3,0.2281330894072165,COD
COD.6.10_1,mixture,2,3,0.730109870257732,COD
COD.6.11_1,mixture,2,3,0.30134027894329896,COD
COD.6.2_1,mixture,2,3,0.6618874827577319,COD
COD.6.3_1,mixture,2,3,0.4102588285670103,COD
COD.6.4_1,mixture,2,3,0.28837286974226806,COD
COD.6.5_1,mixture,2,3,0.4644463842783505,COD
COD.6.6_1,mixture,2,3,0.41029280474226804,COD
COD.6.7_1,mixture,2,3,0.4393859689948454,COD
COD.6.8_1,mixture,2,3,0.5589602711340206,COD
COD.6.9_1,mixture,2,3,0.3382793189819588,COD
COD.7.1_1,mixture,2,10,0.24291507837628865,COD
COD.7.2_1,mixture,2,12,0.1975183626572165,COD
COD.7.3_1,mixture,2,3,0.6177603340721649,COD
COD.7.4_1,mixture,2,10,0.21355002305927834,COD
COD.7.5_1,mixture,2,12,0.1922214480128866,COD
COD.7.6_1,mixture,2,10,0.2274364046469072,COD
COD.7.7_1,mixture,2,12,0.1852440638402062,COD
COD.8.1_1,mixture,2,10,0.2837671819587629,COD
COD.8.2_1,mixture,2,10,0.2868929944329897,COD
COD.8.3_1,mixture,2,1,0.1896731375773196,COD
COD.8.4_1,mixture,2,10,0.23234122,COD
COD.8.5_1,mixture,2,10,0.2256209379742268,COD
COD.8.6_1,mixture,2,3,0.2078243572371134,COD
COD.8.7_1,mixture,2,1,0.17478134394329897,COD
COD.8.8_1,mixture,2,10,0.5612364872164949,COD
COD.8.9_1,mixture,2,10,0.18936199039536084,COD
COD.9.1_1,mixture,2,10,0.6527445112886598,COD
COD.9.2_1,mixture,2,10,0.6865035894329897,COD
COD.9.3_1,mixture,2,10,0.23010272711340207,COD
