elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,country,run_level,variant,identifier,time_left,time_right
0,0,-950.4525405059869,40.20730189399455,94.64092136989221,9.297067234041986,1900.9050810119738,80.4146037879891,KEN,1,mixture,occurrence,all,all
-45.85507891552901,6.989486603101029,-996.3076194215146,41.16573190596139,107.59497363889187,8.527479543535373,1992.6152388430291,82.33146381192277,KEN,1,base,occurrence,all,all
-71.81538214280938,7.3581995171215535,-1022.2679226487979,42.303650555707236,127.53792584622913,11.489389324326364,2044.5358452975959,84.60730111141447,KEN,1,null,occurrence,all,all
-177.8187535607593,25.02249057249912,-1128.2712940667473,50.21830393071458,211.79078203190727,27.11821176181398,2256.5425881334945,100.43660786142917,KEN,1,offset,occurrence,all,all
-1625.4482954202024,142.47525924023242,-2575.9008359261934,159.6922524916189,1299.3193174466935,137.7811933931541,5151.801671852387,319.3845049832378,KEN,1,mixture_offset,occurrence,all,all
