elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,country,run_level,variant,identifier,time_left,time_right
0,0,-74.23208518406946,10.019675605192418,22.62204457412281,4.224516693319974,148.46417036813892,20.039351210384837,MOZ,1,null,occurrence,all,all
-1.1963982869155734,1.5891106924697114,-75.42848347098494,10.495696544035791,25.117888579728863,4.836691807962555,150.8569669419699,20.991393088071582,MOZ,1,base,occurrence,all,all
-1.2680295359555096,1.4652612317552995,-75.50011472002495,10.378559325806181,25.00160094787007,4.7415631488988685,151.0002294400499,20.757118651612362,MOZ,1,mixture,occurrence,all,all
-46.0751641050098,8.594060371858543,-120.30724928907918,14.11409283816013,52.49657293874602,8.162211172784309,240.61449857815836,28.22818567632026,MOZ,1,offset,occurrence,all,all
-770.6064385401577,188.73603713908156,-844.8385237242272,191.59896635927194,762.8078234136967,185.17638094761955,1689.6770474484545,383.1979327185439,MOZ,1,mixture_offset,occurrence,all,all
