variable,mean,q2.5,q25,q75,q97.5,gid,month,country,run_level,variant,identifier,time_left,time_right,median
"betas[1,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.1_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[2,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.10_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[3,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.11_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[4,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.12_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[5,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.13_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[6,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.14_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[7,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.15_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[8,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.16_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[9,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.17_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[10,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.18_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[11,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.2_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[12,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.3_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[13,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.4_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[14,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.5_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[15,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.6_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[16,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.7_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[17,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.8_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[18,1]",0.4940805931,0.11381625000000002,0.36663,0.6266099999999999,0.8709577500000002,AGO.9_1,1,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[1,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.1_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[2,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.10_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[3,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.11_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[4,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.12_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[5,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.13_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[6,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.14_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[7,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.15_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[8,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.16_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[9,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.17_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[10,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.18_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[11,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.2_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[12,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.3_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[13,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.4_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[14,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.5_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[15,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.6_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
"betas[16,2]",-0.18903269932825,-0.53621075,-0.30688249999999995,-0.069199,0.14710025000000004,AGO.7_1,2,AGO,1,offset,mean_annual_incidence,all,all,NA
