elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,country,run_level,variant,identifier,time_left,time_right
0,0,-1000.2387521556489,48.70479144509816,126.20785105508344,11.43117366323091,2000.4775043112977,97.40958289019632,UGA,1,mixture,mean_annual_incidence,all,all
-18.059305777804177,7.3346204718287344,-1018.2980579334527,49.88707723239353,106.70333607879917,10.43520873384033,2036.5961158669054,99.77415446478706,UGA,1,base,mean_annual_incidence,all,all
-21.897966529577868,10.38092415771319,-1022.136718685231,50.122742262826655,92.57463240436289,10.070549386709388,2044.273437370462,100.24548452565331,UGA,1,null,mean_annual_incidence,all,all
-62.84435113920522,19.281907728098048,-1063.0831032948533,47.53994070793988,137.8179885812375,11.46472398778839,2126.1662065897067,95.07988141587975,UGA,1,offset,mean_annual_incidence,all,all
-1683.6347733724292,292.2192708378489,-2683.8735255280835,305.24205582307764,1828.6613734638474,295.5945285998872,5367.747051056167,610.4841116461553,UGA,1,mixture_offset,mean_annual_incidence,all,all
