elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,country,run_level,variant,identifier,time_left,time_right
0,0,-91.9138747299268,8.350839058136946,18.692605861185037,2.5035999073056368,183.8277494598536,16.701678116273893,CIV,1,base,occurrence,all,all
-3.57597937592935e-4,0.3603134401720902,-91.9142323278644,8.345600161064702,18.285403022559372,2.4753198538925663,183.8284646557288,16.691200322129404,CIV,1,mixture,occurrence,all,all
-1.1431578331712355,2.5054499741744363,-93.05703256309806,8.297039800726738,13.514993271421812,2.119241696562781,186.11406512619612,16.594079601453476,CIV,1,null,occurrence,all,all
-21.77200566411081,5.188077845124817,-113.68588039403762,9.13183516577999,31.640992352820025,3.3581552035848667,227.37176078807525,18.26367033155998,CIV,1,offset,occurrence,all,all
-77.91813891848524,19.833034827758457,-169.83201364841216,22.763980090581722,81.85707093301355,19.48214744628148,339.6640272968243,45.527960181163444,CIV,1,mixture_offset,occurrence,all,all
