elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,country,run_level,variant,identifier,time_left,time_right
0,0,-89.57994351134927,12.353534835209855,12.38812422821943,4.327285847515541,179.15988702269854,24.70706967041971,SEN,1,null,mean_annual_incidence,all,all
-2.319047063156975,1.5190707059164221,-91.89899057450597,13.100581730454222,17.10603705920963,4.887098626540663,183.79798114901195,26.201163460908443,SEN,1,mixture,mean_annual_incidence,all,all
-2.510119860747915,1.7168598702066407,-92.09006337209685,13.160156716290704,16.84896324541669,4.786162507053313,184.1801267441937,26.320313432581408,SEN,1,base,mean_annual_incidence,all,all
-56.53064662542496,4.673348760108674,-146.1105901367739,13.635126979491218,44.94468773981315,7.251203214378972,292.2211802735478,27.270253958982437,SEN,1,offset,mean_annual_incidence,all,all
-173.58099598047315,32.390746517725795,-263.1609394918221,41.49047497244952,123.32686024397573,35.33164161602182,526.3218789836442,82.98094994489904,SEN,1,mixture_offset,mean_annual_incidence,all,all
