elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,country,run_level,variant,identifier,time_left,time_right
0,0,-240.17753443912528,20.350203737941783,47.16416813778048,5.675710942730838,480.35506887825056,40.700407475883566,TCD,2,mixture,mean_annual_incidence,all,all
-7.34750602453811,3.4024327292782055,-247.52504046366388,21.399225408467377,41.094513296104,5.040090739227749,495.05008092732777,42.79845081693475,TCD,2,base,mean_annual_incidence,all,all
-40.3835524768668,7.127322679719283,-280.5610869159921,20.52401984466835,65.86042888516702,7.004879604827728,561.1221738319842,41.0480396893367,TCD,2,mixture_offset,mean_annual_incidence,all,all
-69.49450920263234,11.707082438456348,-309.6720436417574,24.61298712831704,36.369573352928604,5.1106449307336375,619.3440872835148,49.22597425663408,TCD,2,null,mean_annual_incidence,all,all
-99.6474558820259,11.219412933743197,-339.8249903211521,25.58763121215243,76.21193605443653,6.772301701010574,679.6499806423042,51.17526242430486,TCD,2,offset,mean_annual_incidence,all,all
