elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic,country,run_level,variant,identifier,time_left,time_right
0,0,-1216.3735057372307,62.88403561422679,127.62974638716452,15.095985807254264,2432.7470114744615,125.76807122845358,NER,2,mixture,occurrence,all,all
-21.18019892036918,7.334690096981251,-1237.5537046576014,63.44140170259218,97.36651364472431,14.712286494687653,2475.107409315203,126.88280340518436,NER,2,base,occurrence,all,all
-119.58794289611761,18.70087960173235,-1335.9614486333448,63.91879487260981,84.9123921758736,13.053134863392598,2671.9228972666897,127.83758974521962,NER,2,null,occurrence,all,all
-139.23215303353297,20.992501128749602,-1355.6056587707694,61.08978845789291,151.27954389679047,19.753922226879613,2711.211317541539,122.17957691578582,NER,2,offset,occurrence,all,all
