country,run_level,variant,identifier,time_left,time_right,variable,mean,q2.5,q25,q75,q97.5,unit,month
AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDI,1,null,mean_annual_incidence,all,all,NA,NA,NA,NA,NA,NA,NA,NA
BEN,1,mixture,mean_annual_incidence,all,all,"betas[1,1]",0.0364840258076375,-0.7014729499999999,-0.21989299999999998,0.28477425,0.8420144750000004,BEN.1_1,1
BEN,1,mixture,mean_annual_incidence,all,all,"betas[2,1]",0.0671645068695,-0.63115365,-0.165796,0.29798875,0.8167344000000003,BEN.10_1,1
BEN,1,mixture,mean_annual_incidence,all,all,"betas[3,1]",0.3872980819567875,-0.36986777499999995,0.09101275,0.661756,1.2432710000000002,BEN.11_1,1
BEN,1,mixture,mean_annual_incidence,all,all,"betas[4,1]",-0.153096689796,-1.02705675,-0.3942635,0.11253525,0.5905103500000003,BEN.12_1,1
BEN,1,mixture,mean_annual_incidence,all,all,"betas[5,1]",0.014287825867575,-0.8575153249999999,-0.25249625,0.29352625,0.8810714249999999,BEN.2_1,1
BEN,1,mixture,mean_annual_incidence,all,all,"betas[6,1]",-0.34211167859625,-1.14109375,-0.5701189999999999,-0.087719175,0.3212585750000001,BEN.3_1,1
BEN,1,mixture,mean_annual_incidence,all,all,"betas[7,1]",-0.035580250251175,-0.743095925,-0.27971625,0.20528124999999997,0.6922504000000004,BEN.4_1,1
BEN,1,mixture,mean_annual_incidence,all,all,"betas[8,1]",-0.514363784941825,-1.5576685000000001,-0.7839082500000001,-0.19522675,0.24429517500000006,BEN.5_1,1
BEN,1,mixture,mean_annual_incidence,all,all,"betas[9,1]",-0.3774470317067,-1.4336105000000001,-0.64470275,-0.06269954999999999,0.4217282500000004,BEN.6_1,1
BEN,1,mixture,mean_annual_incidence,all,all,"betas[10,1]",-0.578424064909,-1.816892,-0.8919085,-0.2030915,0.31624195000000005,BEN.7_1,1
BEN,1,mixture,mean_annual_incidence,all,all,"betas[11,1]",-0.68981553524275,-1.87908175,-1.0092975000000002,-0.31471099999999996,0.19165310000000005,BEN.8_1,1
BEN,1,mixture,mean_annual_incidence,all,all,"betas[12,1]",0.13224783111024999,-0.571655675,-0.10336725000000001,0.36609175,0.8889217500000001,BEN.9_1,1
BEN,1,mixture,mean_annual_incidence,all,all,"betas[1,2]",0.176434230441975,-0.77463065,-0.13742425,0.49141349999999995,1.1362797500000001,BEN.1_1,2
BEN,1,mixture,mean_annual_incidence,all,all,"betas[2,2]",0.22164747900075,-0.703116075,-0.09215555,0.53210675,1.1534927500000003,BEN.10_1,2
BEN,1,mixture,mean_annual_incidence,all,all,"betas[3,2]",0.5918531086225,-0.4469974,0.24954525,0.9440215000000001,1.6441685000000001,BEN.11_1,2
BEN,1,mixture,mean_annual_incidence,all,all,"betas[4,2]",-0.0297005500458,-1.10604275,-0.34936575000000003,0.30499299999999996,0.9157668,BEN.12_1,2
BEN,1,mixture,mean_annual_incidence,all,all,"betas[5,2]",0.1781463339375,-0.9515605749999999,-0.20288675,0.5545305,1.2770745000000006,BEN.2_1,2
BEN,1,mixture,mean_annual_incidence,all,all,"betas[6,2]",-0.23292918666775,-1.20467775,-0.55629425,0.092177725,0.7071702750000002,BEN.3_1,2
BEN,1,mixture,mean_annual_incidence,all,all,"betas[7,2]",0.09174757822145,-0.838879125,-0.2081585,0.39468125,0.996259625,BEN.4_1,2
BEN,1,mixture,mean_annual_incidence,all,all,"betas[8,2]",-0.441118385611,-1.5907527499999998,-0.75435375,-0.09049064999999999,0.47489420000000004,BEN.5_1,2
BEN,1,mixture,mean_annual_incidence,all,all,"betas[9,2]",-0.274850170376725,-1.4581944999999998,-0.6203155,0.099646275,0.74426685,BEN.6_1,2
BEN,1,mixture,mean_annual_incidence,all,all,"betas[10,2]",-0.502633722095325,-1.850328,-0.8647435,-0.09151107500000001,0.569229725,BEN.7_1,2
BEN,1,mixture,mean_annual_incidence,all,all,"betas[11,2]",-0.6298203934355,-1.88037725,-0.9815172499999999,-0.21637175,0.39868080000000017,BEN.8_1,2
BEN,1,mixture,mean_annual_incidence,all,all,"betas[12,2]",0.312923860162,-0.739704075,-0.003718215,0.6548970000000001,1.2776920000000003,BEN.9_1,2
BEN,1,mixture,mean_annual_incidence,all,all,"betas[1,3]",0.206355805515625,-0.866056375,-0.13858075,0.55850025,1.2176462500000003,BEN.1_1,3
BEN,1,mixture,mean_annual_incidence,all,all,"betas[2,3]",0.23361240761875,-0.7382148,-0.091785525,0.5543944999999999,1.16376225,BEN.10_1,3
BEN,1,mixture,mean_annual_incidence,all,all,"betas[3,3]",0.6138651455185,-0.514305475,0.26583100000000004,0.9663435,1.6972987500000003,BEN.11_1,3
BEN,1,mixture,mean_annual_incidence,all,all,"betas[4,3]",-0.0097075347395,-1.15837275,-0.35815650000000004,0.350437,1.0173277500000002,BEN.12_1,3
BEN,1,mixture,mean_annual_incidence,all,all,"betas[5,3]",0.1801332126335,-0.9733113499999999,-0.18304399999999998,0.56612775,1.2154255000000005,BEN.2_1,3
BEN,1,mixture,mean_annual_incidence,all,all,"betas[6,3]",-0.21712110842456675,-1.2405169999999999,-0.5490205,0.1250855,0.7825984500000004,BEN.3_1,3
