country,gid,name,run_level,model,month,mean,q025,q975
AGO,AGO.1_1,Bengo,1,offset,1,0.5080509053911831,0.1691146671905326,0.8491334252576586
AGO,AGO.1_1,Bengo,1,offset,2,-0.11811460150040337,-0.44631782343123444,0.18914172441787377
AGO,AGO.1_1,Bengo,1,offset,3,0.08420782145076537,-0.23845843704862585,0.40901125823492634
AGO,AGO.1_1,Bengo,1,offset,4,0.28410245851846355,-0.04496430138473869,0.6124386688239738
AGO,AGO.1_1,Bengo,1,offset,5,0.4402253995910009,0.12097259368525538,0.7643721350756225
AGO,AGO.1_1,Bengo,1,offset,6,0.008592846627906579,-0.3177580288105084,0.3343769288458103
AGO,AGO.1_1,Bengo,1,offset,7,-0.7041010027531706,-1.0855115772740453,-0.3452908815170609
AGO,AGO.1_1,Bengo,1,offset,8,-0.6799247669100112,-1.048070541024939,-0.3148068078816363
AGO,AGO.1_1,Bengo,1,offset,9,-0.31666848455449215,-0.6932612190752748,0.060529197454447195
AGO,AGO.1_1,Bengo,1,offset,10,-0.2568819575936894,-0.7039319467968487,0.15370664510717677
AGO,AGO.1_1,Bengo,1,offset,11,0.17498458557588248,-0.2361239264458676,0.5773915377849559
AGO,AGO.1_1,Bengo,1,offset,12,0.5756776251056557,0.18263774784248957,0.9549996617914975
AGO,AGO.2_1,Benguela,1,offset,1,0.5080509053911831,0.1691146671905326,0.8491334252576586
AGO,AGO.2_1,Benguela,1,offset,2,-0.11811460150040337,-0.44631782343123444,0.18914172441787377
AGO,AGO.2_1,Benguela,1,offset,3,0.08420782145076537,-0.23845843704862585,0.40901125823492634
AGO,AGO.2_1,Benguela,1,offset,4,0.28410245851846355,-0.04496430138473869,0.6124386688239738
AGO,AGO.2_1,Benguela,1,offset,5,0.4402253995910009,0.12097259368525538,0.7643721350756225
AGO,AGO.2_1,Benguela,1,offset,6,0.008592846627906579,-0.3177580288105084,0.3343769288458103
AGO,AGO.2_1,Benguela,1,offset,7,-0.7041010027531706,-1.0855115772740453,-0.3452908815170609
AGO,AGO.2_1,Benguela,1,offset,8,-0.6799247669100112,-1.048070541024939,-0.3148068078816363
AGO,AGO.2_1,Benguela,1,offset,9,-0.31666848455449215,-0.6932612190752748,0.060529197454447195
AGO,AGO.2_1,Benguela,1,offset,10,-0.2568819575936894,-0.7039319467968487,0.15370664510717677
AGO,AGO.2_1,Benguela,1,offset,11,0.17498458557588248,-0.2361239264458676,0.5773915377849559
AGO,AGO.2_1,Benguela,1,offset,12,0.5756776251056557,0.18263774784248957,0.9549996617914975
AGO,AGO.3_1,Bié,1,offset,1,0.5080509053911831,0.1691146671905326,0.8491334252576586
AGO,AGO.3_1,Bié,1,offset,2,-0.11811460150040337,-0.44631782343123444,0.18914172441787377
AGO,AGO.3_1,Bié,1,offset,3,0.08420782145076537,-0.23845843704862585,0.40901125823492634
AGO,AGO.3_1,Bié,1,offset,4,0.28410245851846355,-0.04496430138473869,0.6124386688239738
AGO,AGO.3_1,Bié,1,offset,5,0.4402253995910009,0.12097259368525538,0.7643721350756225
AGO,AGO.3_1,Bié,1,offset,6,0.008592846627906579,-0.3177580288105084,0.3343769288458103
AGO,AGO.3_1,Bié,1,offset,7,-0.7041010027531706,-1.0855115772740453,-0.3452908815170609
AGO,AGO.3_1,Bié,1,offset,8,-0.6799247669100112,-1.048070541024939,-0.3148068078816363
AGO,AGO.3_1,Bié,1,offset,9,-0.31666848455449215,-0.6932612190752748,0.060529197454447195
AGO,AGO.3_1,Bié,1,offset,10,-0.2568819575936894,-0.7039319467968487,0.15370664510717677
AGO,AGO.3_1,Bié,1,offset,11,0.17498458557588248,-0.2361239264458676,0.5773915377849559
AGO,AGO.3_1,Bié,1,offset,12,0.5756776251056557,0.18263774784248957,0.9549996617914975
AGO,AGO.7_1,Cuanza Sul,1,offset,1,0.5080509053911831,0.1691146671905326,0.8491334252576586
AGO,AGO.7_1,Cuanza Sul,1,offset,2,-0.11811460150040337,-0.44631782343123444,0.18914172441787377
AGO,AGO.7_1,Cuanza Sul,1,offset,3,0.08420782145076537,-0.23845843704862585,0.40901125823492634
AGO,AGO.7_1,Cuanza Sul,1,offset,4,0.28410245851846355,-0.04496430138473869,0.6124386688239738
AGO,AGO.7_1,Cuanza Sul,1,offset,5,0.4402253995910009,0.12097259368525538,0.7643721350756225
AGO,AGO.7_1,Cuanza Sul,1,offset,6,0.008592846627906579,-0.3177580288105084,0.3343769288458103
AGO,AGO.7_1,Cuanza Sul,1,offset,7,-0.7041010027531706,-1.0855115772740453,-0.3452908815170609
AGO,AGO.7_1,Cuanza Sul,1,offset,8,-0.6799247669100112,-1.048070541024939,-0.3148068078816363
AGO,AGO.7_1,Cuanza Sul,1,offset,9,-0.31666848455449215,-0.6932612190752748,0.060529197454447195
AGO,AGO.7_1,Cuanza Sul,1,offset,10,-0.2568819575936894,-0.7039319467968487,0.15370664510717677
AGO,AGO.7_1,Cuanza Sul,1,offset,11,0.17498458557588248,-0.2361239264458676,0.5773915377849559
AGO,AGO.7_1,Cuanza Sul,1,offset,12,0.5756776251056557,0.18263774784248957,0.9549996617914975
AGO,AGO.4_1,Cabinda,1,offset,1,0.5080509053911831,0.1691146671905326,0.8491334252576586
AGO,AGO.4_1,Cabinda,1,offset,2,-0.11811460150040337,-0.44631782343123444,0.18914172441787377
AGO,AGO.4_1,Cabinda,1,offset,3,0.08420782145076537,-0.23845843704862585,0.40901125823492634
AGO,AGO.4_1,Cabinda,1,offset,4,0.28410245851846355,-0.04496430138473869,0.6124386688239738
AGO,AGO.4_1,Cabinda,1,offset,5,0.4402253995910009,0.12097259368525538,0.7643721350756225
AGO,AGO.4_1,Cabinda,1,offset,6,0.008592846627906579,-0.3177580288105084,0.3343769288458103
AGO,AGO.4_1,Cabinda,1,offset,7,-0.7041010027531706,-1.0855115772740453,-0.3452908815170609
AGO,AGO.4_1,Cabinda,1,offset,8,-0.6799247669100112,-1.048070541024939,-0.3148068078816363
AGO,AGO.4_1,Cabinda,1,offset,9,-0.31666848455449215,-0.6932612190752748,0.060529197454447195
AGO,AGO.4_1,Cabinda,1,offset,10,-0.2568819575936894,-0.7039319467968487,0.15370664510717677
AGO,AGO.4_1,Cabinda,1,offset,11,0.17498458557588248,-0.2361239264458676,0.5773915377849559
AGO,AGO.4_1,Cabinda,1,offset,12,0.5756776251056557,0.18263774784248957,0.9549996617914975
AGO,AGO.10_1,Huíla,1,offset,1,0.5080509053911831,0.1691146671905326,0.8491334252576586
AGO,AGO.10_1,Huíla,1,offset,2,-0.11811460150040337,-0.44631782343123444,0.18914172441787377
AGO,AGO.10_1,Huíla,1,offset,3,0.08420782145076537,-0.23845843704862585,0.40901125823492634
AGO,AGO.10_1,Huíla,1,offset,4,0.28410245851846355,-0.04496430138473869,0.6124386688239738
AGO,AGO.10_1,Huíla,1,offset,5,0.4402253995910009,0.12097259368525538,0.7643721350756225
AGO,AGO.10_1,Huíla,1,offset,6,0.008592846627906579,-0.3177580288105084,0.3343769288458103
AGO,AGO.10_1,Huíla,1,offset,7,-0.7041010027531706,-1.0855115772740453,-0.3452908815170609
AGO,AGO.10_1,Huíla,1,offset,8,-0.6799247669100112,-1.048070541024939,-0.3148068078816363
AGO,AGO.10_1,Huíla,1,offset,9,-0.31666848455449215,-0.6932612190752748,0.060529197454447195
AGO,AGO.10_1,Huíla,1,offset,10,-0.2568819575936894,-0.7039319467968487,0.15370664510717677
AGO,AGO.10_1,Huíla,1,offset,11,0.17498458557588248,-0.2361239264458676,0.5773915377849559
AGO,AGO.10_1,Huíla,1,offset,12,0.5756776251056557,0.18263774784248957,0.9549996617914975
AGO,AGO.11_1,Luanda,1,offset,1,0.5080509053911831,0.1691146671905326,0.8491334252576586
AGO,AGO.11_1,Luanda,1,offset,2,-0.11811460150040337,-0.44631782343123444,0.18914172441787377
AGO,AGO.11_1,Luanda,1,offset,3,0.08420782145076537,-0.23845843704862585,0.40901125823492634
